checked_at,run_date,outbound,return,price_total,price_pp,airlines,stops,via,depart,arrive,duration_min,max_layover_min,price_level,typical_low_pp,typical_high_pp,options_found,google_url
2026-09-24T18:51+03:00,2026-09-24,2027-06-18,2027-06-26,1536,256,KLM,1,AMS,2027-06-18 18:25,2027-06-19 01:10,405,65,low,308,400,6,https://www.google.com/travel/flights?hl=en&gl=fi&curr=EUR&tfs=CBwQAhogEgoyMDI3LTA2LTE4KAFqBwgBEgNIRUxyBwgBEgNBVEgaIBIKMjAyNy0wNi0yNigBagcIARIDQVRIcgcIARIDSEVMQAFAAUABQAFAAUABSAFwAZgBAQ&tfu=EgIIAQ
2026-09-24T18:51+03:00,2026-09-24,2027-06-17,2027-06-25,1621,270,Air Baltic,1,RIX,2027-06-17 09:15,2027-06-17 14:40,325,75,low,308,400,9,https://www.google.com/travel/flights?hl=en&gl=fi&curr=EUR&tfs=CBwQAhogEgoyMDI3LTA2LTE3KAFqBwgBEgNIRUxyBwgBEgNBVEgaIBIKMjAyNy0wNi0yNSgBagcIARIDQVRIcgcIARIDSEVMQAFAAUABQAFAAUABSAFwAZgBAQ&tfu=EgIIAQ
2026-09-24T18:51+03:00,2026-09-24,2027-06-17,2027-06-26,1602,267,KLM,1,AMS,2027-06-17 18:25,2027-06-18 01:10,405,65,low,308,400,7,https://www.google.com/travel/flights?hl=en&gl=fi&curr=EUR&tfs=CBwQAhogEgoyMDI3LTA2LTE3KAFqBwgBEgNIRUxyBwgBEgNBVEgaIBIKMjAyNy0wNi0yNigBagcIARIDQVRIcgcIARIDSEVMQAFAAUABQAFAAUABSAFwAZgBAQ&tfu=EgIIAQ
2026-09-24T18:51+03:00,2026-09-24,2027-06-17,2027-06-27,1542,257,KLM,1,AMS,2027-06-17 18:25,2027-06-18 01:10,405,65,,,,10,https://www.google.com/travel/flights?hl=en&gl=fi&curr=EUR&tfs=CBwQAhogEgoyMDI3LTA2LTE3KAFqBwgBEgNIRUxyBwgBEgNBVEgaIBIKMjAyNy0wNi0yNygBagcIARIDQVRIcgcIARIDSEVMQAFAAUABQAFAAUABSAFwAZgBAQ&tfu=EgIIAQ
2026-09-24T18:51+03:00,2026-09-24,2027-06-18,2027-06-25,1458,243,Aegean,0,,2027-06-18 12:25,2027-06-18 16:05,220,0,low,308,400,5,https://www.google.com/travel/flights?hl=en&gl=fi&curr=EUR&tfs=CBwQAhogEgoyMDI3LTA2LTE4KAFqBwgBEgNIRUxyBwgBEgNBVEgaIBIKMjAyNy0wNi0yNSgBagcIARIDQVRIcgcIARIDSEVMQAFAAUABQAFAAUABSAFwAZgBAQ&tfu=EgIIAQ
2026-09-25T08:29+03:00,2026-09-25,2027-06-18,2027-06-26,1566,261,KLM,1,AMS,2027-06-18 18:25,2027-06-19 01:10,405,65,low,308,400,6,https://www.google.com/travel/flights?hl=en&gl=fi&curr=EUR&tfs=CBwQAhogEgoyMDI3LTA2LTE4KAFqBwgBEgNIRUxyBwgBEgNBVEgaIBIKMjAyNy0wNi0yNigBagcIARIDQVRIcgcIARIDSEVMQAFAAUABQAFAAUABSAFwAZgBAQ&tfu=EgIIAQ
2026-09-25T08:29+03:00,2026-09-25,2027-06-18,2027-06-27,1458,243,Aegean,0,,2027-06-18 12:25,2027-06-18 16:05,220,0,low,308,400,7,https://www.google.com/travel/flights?hl=en&gl=fi&curr=EUR&tfs=CBwQAhogEgoyMDI3LTA2LTE4KAFqBwgBEgNIRUxyBwgBEgNBVEgaIBIKMjAyNy0wNi0yNygBagcIARIDQVRIcgcIARIDSEVMQAFAAUABQAFAAUABSAFwAZgBAQ&tfu=EgIIAQ
2026-09-25T08:29+03:00,2026-09-25,2027-06-19,2027-06-25,1615,269,Air Baltic,1,RIX,2027-06-19 09:15,2027-06-19 14:40,325,75,low,308,400,7,https://www.google.com/travel/flights?hl=en&gl=fi&curr=EUR&tfs=CBwQAhogEgoyMDI3LTA2LTE5KAFqBwgBEgNIRUxyBwgBEgNBVEgaIBIKMjAyNy0wNi0yNSgBagcIARIDQVRIcgcIARIDSEVMQAFAAUABQAFAAUABSAFwAZgBAQ&tfu=EgIIAQ
2026-09-25T08:29+03:00,2026-09-25,2027-06-19,2027-06-26,1482,247,KLM,1,AMS,2027-06-19 18:25,2027-06-20 01:10,405,65,,,,7,https://www.google.com/travel/flights?hl=en&gl=fi&curr=EUR&tfs=CBwQAhogEgoyMDI3LTA2LTE5KAFqBwgBEgNIRUxyBwgBEgNBVEgaIBIKMjAyNy0wNi0yNigBagcIARIDQVRIcgcIARIDSEVMQAFAAUABQAFAAUABSAFwAZgBAQ&tfu=EgIIAQ
2026-09-25T08:29+03:00,2026-09-25,2027-06-19,2027-06-27,1602,267,KLM,1,AMS,2027-06-19 18:25,2027-06-20 01:10,405,65,,,,8,https://www.google.com/travel/flights?hl=en&gl=fi&curr=EUR&tfs=CBwQAhogEgoyMDI3LTA2LTE5KAFqBwgBEgNIRUxyBwgBEgNBVEgaIBIKMjAyNy0wNi0yNygBagcIARIDQVRIcgcIARIDSEVMQAFAAUABQAFAAUABSAFwAZgBAQ&tfu=EgIIAQ
